slug,originalTitle,originalLanguage,artist_slugs,releaseDate,variantLabel,baseVersion_slug,ja_title,ja_variantLabel,ko_title,ko_variantLabel,en_title,en_variantLabel,sourceNote,album_slug,disc_number,track_number
Hakuchuu-a-la-mode-megumi,ハクチューアラモード,ja,megumi-solo,2025-06-04,Megumi Solo Ver.,Hakuchuu-a-la-mode,,,백중 아라모드,,Hakuchuu à la Mode,,,star-sign-memories-megumi,1,2
kokon-touzai-megumi,ココン東西,ja,megumi-solo,2025-06-04,Megumi Solo Ver.,kokon-touzai,,,고금동서,,Kokon Touzai,,,star-sign-memories-megumi,1,3
identity-megumi,アイデンティティ,ja,megumi-solo,2025-06-04,Megumi Solo Ver.,identity,,,아이덴티티,,Identity,,,star-sign-memories-megumi,1,4
nonfiction-hero-show-megumi,ノンフィクションヒーローショー,ja,megumi-solo,2025-06-04,Megumi Solo Ver.,nonfiction-hero-show,,,논픽션 히어로 쇼,,Nonfiction Hero Show,,,star-sign-memories-megumi,1,5
milk-megumi,ミルク,ja,megumi-solo,2025-06-04,Megumi Solo Ver.,milk,,,밀크,,Milk,,,star-sign-memories-megumi,1,6
ishin-denshin-megumi,以心☆電信,ja,megumi-solo,2025-06-04,Megumi Solo Ver.,ishin-denshin,,,이심☆전신,,Ishin☆Denshin,,,star-sign-memories-megumi,1,7
bang-you-gravity-megumi,BANG YOU グラビティ,ja,megumi-solo,2025-06-04,Megumi Solo Ver.,bang-you-gravity,,,BANG YOU 그래비티,,BANG YOU Gravity,,,star-sign-memories-megumi,1,8
miracreation-megumi,みらくりえーしょん,ja,megumi-solo,2025-06-04,Megumi Solo Ver.,miracreation,,,미라크리에이션,,Mira-Creation,,,star-sign-memories-megumi,2,1
fanfare-megumi,ファンファーレ！！！,ja,megumi-solo,2025-06-04,Megumi Solo Ver.,fanfare,,,팡파레!!!,,Fanfare!!!,,,star-sign-memories-megumi,2,2
joushou-kiryuu-megumi,ジョーショーキリュー,ja,megumi-solo,2025-06-04,Megumi Solo Ver.,joushou-kiryuu,,,상승기류,,Joushou Kiryuu,,,star-sign-memories-megumi,2,3
zenhoui-kyun-megumi,全方位キュン♡,ja,megumi-solo,2025-06-04,Megumi Solo Ver.,zenhoui-kyun,,,전방위 두근♡,,Zenhoui Kyun♡,,,star-sign-memories-megumi,2,4
natsumeki-pain-megumi,夏めきペイン,ja,megumi-solo,2025-06-04,Megumi Solo Ver.,natsumeki-pain,,,나츠메키페인,,Natsumeki Pain,,,star-sign-memories-megumi,2,5
deepness-megumi,DEEPNESS,ja,megumi-solo,2025-06-04,Megumi Solo Ver.,deepness,,,,,,,,star-sign-memories-megumi,2,6
dream-believers-sakura-megumi,Dream Believers,ja,megumi-solo,2025-06-04,SAKURA Megumi Solo Ver.,dream-believers,,,,,,,,star-sign-memories-megumi,2,7
yappa-tenshi,やっぱ天使！,ja,megumi-solo,2025-06-04,,,,,역시 천사!,,Yappa Tenshi!,,,star-sign-memories-megumi,2,8
375-fantasy,37.5℃のファンタジー,ja,cerise-bouquet,2025-07-02,,,,,37.5℃의 판타지,,37.5℃ no Fantasy,,,375-fantasy-aimaimeiday-blast-izayoi-serene,,1
aimaimeiday,アイマイメーデー,ja,dollchestra,2025-07-02,,,,,애매 메이데이,,I My Mayday,,,375-fantasy-aimaimeiday-blast-izayoi-serene,,2
blast,BLAST!!,ja,mira-cra-park,2025-07-02,,,,,,,,,,375-fantasy-aimaimeiday-blast-izayoi-serene,,3
izayoi-serene,十六夜セレーネ,ja,edel-note,2025-07-02,,,,,이자요이 셀레네,,Izayou Selene,,,375-fantasy-aimaimeiday-blast-izayoi-serene,,4
i-do-me,アイドゥーミー！,ja,hasunosora,2025-07-09,,,,,아이 두 미!,,I Do Me!,,,ido-me,,1
tohyo-star,とーひょー☆スター！,ja,hasunosora,2025-07-09,,,,,투표☆스타!,,Tohyo☆Star!,,,ido-me,,2
fruit-punch,フルーツパンチ,ja,cerise-bouquet,2025-08-20,,,,,후르츠 펀치,,Fruit Punch,,,fruits-punch,,1
my-lucky-clover,My Lucky Clover,ja,cerise-bouquet,2025-08-20,,,,,,,,,,fruits-punch,,2
taiyou-de-are,太陽であれ！,ja,dollchestra,2025-08-20,,,,,태양이어라!,,Taiyou de Are!,,,taiyou-de-are,,1
diamondz,diamondz,ja,dollchestra,2025-08-20,,,,,,,,,,taiyou-de-are,,2
atarayo-hanabi,可惜夜花火,ja,cerise-bouquet,2025-09-03,,,,,아타라요 하나비,,Atarayo Hanabi,,,atarayo-hanabi-blue-moment-very-very-coconatsu-fusion-crust,,1
blue-moment,ブルウモーメント,ja,dollchestra,2025-09-03,,,,,블루 모먼트,,Blue Moment,,,atarayo-hanabi-blue-moment-very-very-coconatsu-fusion-crust,,2
very-very-coconatsu,Very! Very! COCO夏っ,ja,mira-cra-park,2025-09-03,,,,,Very! Very! COCO넛,,Very ! Very! COCO Natsu,,,atarayo-hanabi-blue-moment-very-very-coconatsu-fusion-crust,,3
fusion-crust,フュージョンクラスト,ja,edel-note,2025-09-03,,,,,퓨전 크러스트,,Fusion Crust,,,atarayo-hanabi-blue-moment-very-very-coconatsu-fusion-crust,,4
nyao-signyal,ニャオシグニャル,ja,mira-cra-park,2025-10-01,,,,,냐오 시그냘,,Nyao Signyal,,,nyao-signyal,,1
heart-ni-q,ハートにQ,ja,mira-cra-park,2025-10-01,,,,,하트에 Q,,Heart ni Q,,,nyao-signyal,,2
henyoku-no-toribaga,片翼のトリバガ,ja,edel-note,2025-10-01,,,,,편익의 나방,,Henyoku no Toribaga,,,henyoku-no-toribaga,,1
drive-spade-crazy,ドライブ・スペード・クレイジー,ja,edel-note,2025-10-01,,,,,드라이브・스페이드・크레이지,,Drive・Spade・Crazy,,,henyoku-no-toribaga,,2
cho-toutoi-love,ちょ、尊いLOVE,ja,ritorurito,2025-12-03,,,,,"초, 고귀한 LOVE",,"Cho, Toutoi LOVE",,,cho-toutoi-love-new-black,,1
heisei-galz,平成ギャルズ!!!!,ja,ritorurito,2025-12-03,,,,,헤이세이 갸루들!!!!,,Heisei Galz!!!,,,cho-toutoi-love-new-black,,2
new-black,Nεw Black,ja,princess,2025-12-03,,,,,,,,,,cho-toutoi-love-new-black,,3
ichigo-milk-love,IcHiGo milK love,ja,princess,2025-12-03,,,,,,,,,,cho-toutoi-love-new-black,,4
otome-anthology,乙女詞華集,ja,cerise-bouquet,2025-12-10,,,,,오토메 앤솔로지,,Otome Anthology,,,otome-anthology-garando-flash-vital-sign-theater-ikizama,,1
garando-flash,ガランドFlash,ja,dollchestra,2025-12-10,,,,,개런드 Flash,,Garando Flash,,,otome-anthology-garando-flash-vital-sign-theater-ikizama,,2
vital-sign,バイタルサイン,ja,mira-cra-park,2025-12-10,,,,,바이탈 사인,,Vital Sign,,,otome-anthology-garando-flash-vital-sign-theater-ikizama,,3
theater-ikizama,シアター生き様,ja,edel-note,2025-12-10,,,,,시어터 삶의 길,,Theater Ikizama,,,otome-anthology-garando-flash-vital-sign-theater-ikizama,,4
hajimari-no-hane-oto,はじまりの羽音,ja,hasunosora,2025-12-10,,,,,시작의 날갯소리,,Hajimari no Hane Oto,,,hajimari-no-hane-oto,,1
charming-na-hanataba-o,チャーミングな花束を！,ja,hasunosora,2025-12-10,,,,,차밍한 꽃다발을!,,Charming na Hanataba o!,,,hajimari-no-hane-oto,,2
runway,Runway,ja,sayaka-solo,2025-12-24,,,,,,,,,,hajimari-no-hane-oto,,3
echoes-beyond,Echoes Beyond,ja,hasunosora,2026-01-28,,,,,,,,,,echoes-beyond,,1
joker,JOKER.,ja,hasunosora,2026-01-28,,,,,,,,,,echoes-beyond,,2
sayo-shigure,Sayo-Shigure,ja,cerise-bouquet,2026-02-18,,,,,,,,,,sayo-shigure-reboot-hip-hip-hooray-reijou-mob,,1
reboot,リブウト,ja,dollchestra,2026-02-18,,,,,리부트,,Reboot,,,sayo-shigure-reboot-hip-hip-hooray-reijou-mob,,2
hip-hop-hooray,"Hip, hip, hooray!",ja,mira-cra-park,2026-02-18,,,,,,,,,,sayo-shigure-reboot-hip-hip-hooray-reijou-mob,,3
reijou-mob,令嬢モブ！,ja,edel-note,2026-02-18,,,,,영애모브!,,Reijou Mob!,,,sayo-shigure-reboot-hip-hip-hooray-reijou-mob,,4
fushigi-to-kimi-to-library,不思議と君とライブラリー,ja,cerise-bouquet,2026-04-08,,,,,불가사의와 너와 라이브러리,,Fushigi to Kimi to Library,,,fushigi-to-kimi-to-library,,1
fushigi-to-kimi-to-library-bgp,不思議と君とライブラリー,ja,cerise-bouquet,2026-04-08,B. G. P. Ver.,fushigi-to-kimi-to-library,,,불가사의와 너와 라이브러리,,Fushigi to Kimi to Library ,,,fushigi-to-kimi-to-library,,2
kanazawa-one-side-love,金沢片恋慕,ja,cerise-bouquet,2026-04-08,,,,,카나자와 원사이드 러브,,Kanazawa One-Side Love,,,fushigi-to-kimi-to-library,,3
aishii,アイシイ,ja,dollchestra,2026-04-08,,,,,아이시이,,Icy,,,aishii,,1
aishii-bgp,アイシイ,ja,dollchestra,2026-04-08,B. G. P. Ver.,aishii,,,아이시이,,Icy,,,aishii,,2
umbrella,アンブレラ,ja,dollchestra,2026-04-08,,,,,엄브렐라,,Umbrella,,,aishii,,3
tomodachi-ni-nareru-basho,トモダチになれる場所,ja,mira-cra-park,2026-04-08,,,,,친구가 될 수 있는 장소,,Tomodachi ni Nereru Basho,,,tomodachi-ni-nareru-basho,,1
tomodachi-ni-nareru-basho-bgp,トモダチになれる場所,ja,mira-cra-park,2026-04-08,B. G. P. Ver.,tomodachi-ni-nareru-basho,,,친구가 될 수 있는 장소,,Tomodachi ni Nereru Basho,,,tomodachi-ni-nareru-basho,,2
senpai,センパイ,ja,mira-cra-park,2026-04-08,,,,,선배,,Senpai,,,tomodachi-ni-nareru-basho,,3
edelinien,EdelinieN,ja,edel-note,2026-04-08,,,,,,,,,,edelinien,,1
meu-amore-meerkat,ミアモーレ・ミーアキャット,ja,edel-note,2026-04-08,,edelinien,,,미 아모레・미어캣,,Meu Amoré・Meerkat,,,edelinien,,2
a-deru-note,A出るノート,ja,edel-note,2026-04-08,,,,,A가 나오는 노트,,A Deru Note,,,edelinien,,3
hitoyo-ni-yume-ga-saku-you-ni,一生に夢が咲くように,ja,hasunosora,2026-04-15,,,,,일생에 꿈이 피어나기를,,Hitoyo ni Yume ga Saku You ni,,,ima-kako-mirai-no-sangenshoku,,1
yuki-mau-sora-to-nibyou-no-eien,雪舞う空と二秒の永遠,ja,hasunosora,2026-04-15,,,,,눈 흩날리는 하늘과 이 초의 영원,,Yuki Mau Sora to Nibyou no Eien,,,ima-kako-mirai-no-sangenshoku,,2
ima-kako-mirai-no-sangenshoku,今、過去、未来の三原色,ja,hasunosora,2026-04-15,,,,,"지금, 과거, 미래의 삼원색",,"Ima, Kako, Mirai no Sangenshoku",,,ima-kako-mirai-no-sangenshoku,,3
