series_slug,series_ja_name,series_ja_shortName,series_ko_name,series_ko_shortName,series_type,event_slug,parentEvent_slug,event_type,date,startTime,country,ja_name,ja_shortName,ja_city,ja_venue,ko_name,ko_shortName,ko_city,ko_venue,artist_slug,event_performer_slugs,event_guest_slugs
hasunosora-6th,ラブライブ！蓮ノ空女学院スクールアイドルクラブ 6th Live Dream ～Bloom Garden Party～,蓮ノ空 6th Live BGP,러브라이브! 하스노소라 여학원 스쿨 아이돌 클럽 6th Live Dream ~Bloom Garden Party~,하스노소라 6th Live BGP,concert_tour,hasunosora-6th-fukuoka-day1,,concert,2026-05-02,2026-05-02T07:30:00Z,JP,Bloom Stage／福岡公演 Day.1,福岡公演 Day.1,福岡,マリンメッセ福岡B館,Bloom Stage／후쿠오카 공연 Day.1,후쿠오카 공연 Day.1,후쿠오카,마린멧세 후쿠오카 B관,hasunosora,hinoshita-kaho murano-sayaka osawa-rurino momose-ginko kachimachi-kosuzu anyoji-hime ceras-yanagida katsuragi-izumi,
hasunosora-6th,,,,,,hasunosora-6th-fukuoka-day2,,concert,2026-05-03,2026-05-03T06:00:00Z,JP,Bloom Stage／福岡公演 Day.2,福岡公演 Day.2,福岡,マリンメッセ福岡B館,Bloom Stage／후쿠오카 공연 Day.2,후쿠오카 공연 Day.2,후쿠오카,마린멧세 후쿠오카 B관,hasunosora,hinoshita-kaho murano-sayaka osawa-rurino momose-ginko kachimachi-kosuzu anyoji-hime ceras-yanagida katsuragi-izumi,
hasunosora-6th,,,,,,hasunosora-6th-hyogo-day1,,concert,2026-05-23,2026-05-23T07:30:00Z,JP,Garden Stage／兵庫公演 Day.1,兵庫公演 Day.1,兵庫,神戸ワールド記念ホール,Garden Stage／효고 공연 Day.1,효고 공연 Day.1,효고,고베 월드기념홀,hasunosora,hinoshita-kaho murano-sayaka osawa-rurino momose-ginko kachimachi-kosuzu anyoji-hime ceras-yanagida katsuragi-izumi,
hasunosora-6th,,,,,,hasunosora-6th-hyogo-day2,,concert,2026-05-24,2026-05-24T06:00:00Z,JP,Garden Stage／兵庫公演 Day.2,兵庫公演 Day.2,兵庫,神戸ワールド記念ホール,Garden Stage／효고 공연 Day.2,효고 공연 Day.2,효고,고베 월드기념홀,hasunosora,hinoshita-kaho murano-sayaka osawa-rurino momose-ginko kachimachi-kosuzu anyoji-hime ceras-yanagida katsuragi-izumi,
hasunosora-6th,,,,,,hasunosora-6th-kanagawa-day1,,concert,2026-05-30,2026-05-30T07:30:00Z,JP,Party Stage／神奈川公演 Day.1,神奈川公演 Day.1,神奈川,ぴあアリーナMM,Party Stage／가나가와 공연 Day.1,가나가와 공연 Day.1,가나가와,피아 아레나 MM,hasunosora,hinoshita-kaho murano-sayaka osawa-rurino momose-ginko kachimachi-kosuzu anyoji-hime ceras-yanagida katsuragi-izumi,
hasunosora-6th,,,,,,hasunosora-6th-kanagawa-day2,,concert,2026-05-31,2026-05-31T06:00:00Z,JP,Party Stage／神奈川公演 Day.2,神奈川公演 Day.2,神奈川,ぴあアリーナMM,Party Stage／가나가와 공연 Day.2,가나가와 공연 Day.2,가나가와,피아 아레나 MM,hasunosora,hinoshita-kaho murano-sayaka osawa-rurino momose-ginko kachimachi-kosuzu anyoji-hime ceras-yanagida katsuragi-izumi,
hasunosora-6th,,,,,,hasunosora-6th-saitama-day1,,concert,2026-07-11,2026-07-11T07:30:00Z,JP,Bloom Garden Party Stage／埼玉公演 Day.1,埼玉公演 Day.1,埼玉,ベルーナドーム,Bloom Garden Party Stage／사이타마 공연 Day.1,사이타마 공연 Day.1,사이타마,베루나 돔,hasunosora,hinoshita-kaho murano-sayaka osawa-rurino momose-ginko kachimachi-kosuzu anyoji-hime ceras-yanagida katsuragi-izumi,
hasunosora-6th,,,,,,hasunosora-6th-saitama-day2,,concert,2026-07-12,2026-07-12T06:00:00Z,JP,Bloom Garden Party Stage／埼玉公演 Day.2,埼玉公演 Day.2,埼玉,ベルーナドーム,Bloom Garden Party Stage／사이타마 공연 Day.2,사이타마 공연 Day.2,사이타마,베루나 돔,hasunosora,hinoshita-kaho murano-sayaka osawa-rurino momose-ginko kachimachi-kosuzu anyoji-hime ceras-yanagida katsuragi-izumi,
